Date,Day of Week,Payment Type,Customer ID,Approval,Order,Price,Cost,Commision,Total VAT,Total Fee,Revenue
2023-01-01,Sunday,BANK,1K0E00,PAY,Strawberry Joyful,6500,2611.61,1964,221,2185,-481.61
2023-01-01,Sunday,BANK,1K0E00,PAY,Kiwi Delight,6500,2264.615,1964,221,2185,-134.615
2023-01-02,Monday,CREDIT,0D1GG0,PAY,Seasonal Cup Fruit (9oz),7000,1000,1612.333333,169.5,1781.833333,2436.333333
2023-01-02,Monday,CREDIT,0D1GG0,PAY,Seasonal Cup Fruit (9oz),7000,1000,1612.333333,169.5,1781.833333,2436.333333
2023-01-02,Monday,CREDIT,0D1GG0,PAY,Seasonal Cup Fruit (9oz),7000,1000,1612.333333,169.5,1781.833333,2436.333333
2023-01-02,Monday,CREDIT,0D1GG0,PAY,Apple Kale Juice,7000,1006.5,1612.333333,169.5,1781.833333,2429.833333
2023-01-02,Monday,CREDIT,0D1GG0,PAY,Green Grape Kale Juice,7000,2611.5,1612.333333,169.5,1781.833333,824.8333333
2023-01-02,Monday,CREDIT,0D1GG0,PAY,Tomato Juice,7000,797.5,1612.333333,169.5,1781.833333,2638.833333
2023-01-02,Monday,CREDIT,1NAA80,PAY,Lemon Juice,6500,1037.5,1608,177.3333333,1785.333333,1891.833333
2023-01-02,Monday,CREDIT,1NAA80,PAY,Grapefruit Lemon Juice,6500,1399,1608,177.3333333,1785.333333,1530.333333
2023-01-02,Monday,CREDIT,1NAA80,PAY,Strawberry Greek Yogurt,7500,2000,1608,177.3333333,1785.333333,1929.333333
2023-01-02,Monday,CREDIT,1UN4R0,PAY,Strawberry Lemon Breeze,6500,2838.93,1840.2,194,2034.2,-407.33
2023-01-02,Monday,CREDIT,1UN4R0,PAY,Apple Lemon Kale Celery Juice,7000,1853.5,1840.2,194,2034.2,1078.1
2023-01-02,Monday,CREDIT,1UN4R0,PAY,Orange Juice,6500,1287,1840.2,194,2034.2,1144.6
2023-01-02,Monday,CREDIT,1UN4R0,PAY,Mango Coco,6500,1900.7,1840.2,194,2034.2,530.9
2023-01-02,Monday,CREDIT,1UN4R0,PAY,Pineapple Lassi Yogurt Smoothie,6500,1618.02,1840.2,194,2034.2,813.58
2023-01-02,Monday,CHECK,284M80,PAY,Pear Juice,7500,1002.5,1812,191.2,2003.2,2491.1
2023-01-02,Monday,CHECK,284M80,PAY,Peach Juice,6500,1488.7,1812,191.2,2003.2,1004.9
2023-01-02,Monday,CHECK,284M80,PAY,Mango Juice,6500,1963.9,1812,191.2,2003.2,529.7
2023-01-02,Monday,CHECK,284M80,PAY,Melon Juice,7500,1557.2,1812,191.2,2003.2,1936.4
2023-01-02,Monday,CHECK,284M80,PAY,Apple Carrot Juice,7000,1205.38,1812,191.2,2003.2,1788.22
2023-01-02,Monday,CREDIT,2SHT00,PAY,Lemon Juice,6500,1037.5,2194.5,244.5,2439,584.5
2023-01-02,Monday,CREDIT,2SHT00,PAY,Pomegranate Juice,7000,1000,2194.5,244.5,2439,1122
2023-01-03,Tuesday,BANK,1EKGR0,PAY,Winter Signature Vin Chaud,7500,3000,1932,218,2150,200
2023-01-03,Tuesday,BANK,1EKGR0,PAY,ABC Juice,7000,1274.8,1932,218,2150,1425.2
2023-01-04,Wednesday,BANK,12H1R0,PAY,Pear Juice,7500,1002.5,1964,221,2185,2127.5
2023-01-04,Wednesday,BANK,12H1R0,PAY,Orange Pineapple Juice,6500,1350.9,1964,221,2185,779.1
2023-01-04,Wednesday,CREDIT,131A80,PAY,Apple Lemon Kale Celery Juice,7000,1853.5,1878.6,197.8,2076.4,993.7
2023-01-04,Wednesday,CREDIT,131A80,PAY,Apple Lemon Kale Celery Juice,7000,1853.5,1878.6,197.8,2076.4,993.7
2023-01-04,Wednesday,CREDIT,131A80,PAY,Ssangwhacha,6500,652.5,1878.6,197.8,2076.4,1694.7
2023-01-04,Wednesday,CREDIT,131A80,PAY,Ssangwhacha,6500,652.5,1878.6,197.8,2076.4,1694.7
2023-01-04,Wednesday,CREDIT,131A80,PAY,Ssangwhacha,6500,652.5,1878.6,197.8,2076.4,1694.7
2023-01-04,Wednesday,MONEY,22C0G0,PAY,Apple Kale Juice,7000,1006.5,1870.8,197,2067.8,1857.9
2023-01-04,Wednesday,MONEY,22C0G0,PAY,Green Grape Kale Juice,7000,2611.5,1870.8,197,2067.8,252.9
2023-01-04,Wednesday,MONEY,22C0G0,PAY,Apple Cabbage Juice,7000,998,1870.8,197,2067.8,1866.4
2023-01-04,Wednesday,MONEY,22C0G0,PAY,Nutella Banana Greek Yogurt,7500,2357.3,1870.8,197,2067.8,1007.1
2023-01-04,Wednesday,MONEY,22C0G0,PAY,Apple Kale Juice,7000,1006.5,1870.8,197,2067.8,1857.9
2023-01-05,Thursday,CREDIT,2757G0,PAY,Strawberry Milk,6500,1575.03,1522.666667,168.6666667,1691.333333,1542.303333
2023-01-05,Thursday,CREDIT,2757G0,PAY,Ssangwhacha,6500,652.5,1522.666667,168.6666667,1691.333333,2464.833333
2023-01-05,Thursday,CREDIT,2757G0,PAY,My Special Greek Yogurt,5000,1000,1522.666667,168.6666667,1691.333333,617.3333333
2023-01-06,Friday,CREDIT,15J0R0,PAY,My Special Greek Yogurt,5000,1000,1906.666667,207.3333333,2114,-228
2023-01-06,Friday,CREDIT,15J0R0,PAY,Seasonal Fruit (17oz),13000,6000,1906.666667,207.3333333,2114,2772
2023-01-06,Friday,CREDIT,15J0R0,PAY,Tomato Juice,7000,797.5,1906.666667,207.3333333,2114,1974.5
2023-01-07,Saturday,CREDIT,05PC80,PAY,Avocado Banana Bliss,6500,1432.82,1964,221,2185,697.18
